レース馬番ID,レースID,レース日付,開催回数,競馬場コード,競馬場名,開催日数,競争条件,レース記号/[抽],レース記号/(馬齢),レース記号/牝,レース記号/(父),レース記号/(別定),レース記号/(混),レース記号/(ハンデ),レース記号/(抽),レース記号/(市),レース記号/(定量),レース記号/牡,レース記号/関東配布馬,レース記号/(指),レース記号/関西配布馬,レース記号/九州産馬,レース記号/見習騎手,レース記号/せん,レース記号/(国際),レース記号/[指],レース記号/(特指),レース番号,重賞回次,レース名,リステッド・重賞競走,障害区分,芝・ダート区分,芝・ダート区分2,右左回り・直線区分,内・外・襷区分,距離(m),天候,馬場状態1,馬場状態2,発走時刻,着順,着順注記,枠番,馬番,馬名,性別,馬齢,斤量,騎手,タイム,着差,1コーナー,2コーナー,3コーナー,4コーナー,上り,単勝,人気,馬体重,場体重増減,東西・外国・地方区分,調教師,馬主,賞金(万円)
19860101010102,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,1.0,,2,2,ワクセイ,牡,4,55.0,柏崎正次,1:34.3,,,7.0,3.0,1.0,38.6,2.1,1.0,468.0,0.0,東,宮沢今朝,アイ・ケイ・テイ・オーナーズ,290.0
19860101010103,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,2.0,,3,3,マツタカラオー,牡,4,55.0,国兼正浩,1:36.0,大,,4.0,3.0,4.0,40.3,7.0,4.0,430.0,4.0,東,斎藤籌敬,松井健一,120.0
19860101010105,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,3.0,,5,5,カンキョウヘルス,牡,4,55.0,古小路重,1:36.2,1.1/4,,1.0,2.0,3.0,40.6,59.1,6.0,460.0,-4.0,西,境直行,塚原金治,73.0
19860101010106,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,4.0,,6,6,スズタカエース,牡,5,57.0,小谷内秀,1:36.6,2.1/2,,2.0,1.0,2.0,41.2,2.1,2.0,456.0,14.0,西,坂口正大,鈴木隆,44.0
19860101010107,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,5.0,,7,7,クリヤーパーマン,牡,4,55.0,猿橋重利,1:37.4,5,,3.0,3.0,4.0,41.7,6.2,3.0,432.0,-6.0,西,荻野光男,勢戸澄雄,29.0
19860101010101,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,6.0,,1,1,ラガーヒム,牡,4,55.0,大久保光,1:38.1,4,,6.0,6.0,6.0,41.5,59.1,6.0,436.0,6.0,西,大久保正,奥村啓二,
19860101010104,198601010101,1986-06-07,1,1,札幌,1,4歳以上300万下,[抽],(馬齢),,,,,,,,,,,,,,,,,,,1,,4歳以上300万下,,,ダート,,右,,1500,晴,良,,11:05,7.0,,4,4,レミーファイヤー,牡,4,55.0,松田幸春,1:39.2,7,,4.0,6.0,7.0,42.7,24.2,5.0,450.0,4.0,西,大根田裕,石田嘉平,
19860101010203,198601010102,1986-06-07,1,1,札幌,1,3歳新馬,,(馬齢),牝,,,,,,,,,,,,,,,,,,2,,3歳新馬,,,ダート,,右,,1000,晴,良,,11:35,1.0,,3,3,パンパードスキー,牝,3,53.0,津曲浩二,1:01.1,,,,1.0,1.0,37.7,4.2,2.0,488.0,0.0,東,藤原敏文,近嶋勇,480.0
19860101010205,198601010102,1986-06-07,1,1,札幌,1,3歳新馬,,(馬齢),牝,,,,,,,,,,,,,,,,,,2,,3歳新馬,,,ダート,,右,,1000,晴,良,,11:35,2.0,,5,5,サクラハゴロモ,牝,3,53.0,小島太,1:01.5,2.1/2,,,3.0,3.0,37.6,1.2,1.0,444.0,0.0,東,境勝太郎,さくらコマース,190.0
19860101010206,198601010102,1986-06-07,1,1,札幌,1,3歳新馬,,(馬齢),牝,,,,,,,,,,,,,,,,,,2,,3歳新馬,,,ダート,,右,,1000,晴,良,,11:35,3.0,,6,6,オカノアスティー,牝,3,50.0,松永幹夫,1:01.6,1/2,,,2.0,2.0,38.1,41.6,6.0,418.0,0.0,西,山本正司,岡崎貞夫,120.0
